EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
fantasy,fantasy,J_01_045,i,Curved,0.0,,,Open,1.0,SymmetricalOrAlternating,Circular,1,Head,HeadAway,HeadAway,0,f,0
lead,lead,J_01_046,t,,,,,Open,,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerTip,,1,B,0
breaktime,breaktime,J_01_047,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,Straight,0,Hand,Other,,1,5,0
automatic,automatic,J_01_048,i,Bent,0.0,,,Closed,0.0,AsymmetricalDifferentHandshape,BackAndForth,0,Hand,FingerUlnar,FingerUlnar,1,B,0
foul,foul,J_01_049,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,Straight,1,Head,Other,HeadAway,1,,0
hard_of_hearing,hard_of_hearing,J_01_050,im,FullyOpen,,0.0,,Closed,0.0,OneHanded,Curved,0,Neutral,Neutral,Neutral,0,,0
punch_face,punch_face,J_01_051,imrp,FullyClosed,0.0,,0.0,Closed,1.0,OneHanded,Straight,0,Head,CheekNose,,1,,0
curl,curl,J_01_052,im,Crossed,0.0,0.0,0.0,Closed,0.0,OneHanded,Z-shaped,0,Head,HeadTop,HeadTop,1,,0
breakfast_2,breakfast,J_01_053,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,OneHanded,Circular,1,Head,Chin,HeadAway,1,,0
project,project,J_01_054,im,Stacked,,,,Open,1.0,AsymmetricalDifferentHandshape,BackAndForth,0,Hand,FingerFront,FingerBack,1,B,0
at,at,J_01_055,imrp,Flat,0.0,0.0,0.0,Open,0.0,AsymmetricalSameHandshape,Straight,0,Hand,PalmBack,,1,flat_b,0
toy_2,toy_2,J_01_056,i,Curved,0.0,,,Closed,0.0,OneHanded,Straight,1,Head,Chin,HeadAway,1,,0
major,major,J_01_057,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,AsymmetricalSameHandshape,Straight,1,Hand,FingerRadial,HandAway,1,closed_b,0
square,square,J_01_060,i,FullyOpen,1.0,,,Closed,0.0,SymmetricalOrAlternating,Other,0,Neutral,Neutral,Neutral,1,1,0
single_out,single_out,J_01_061,imrp,FullyOpen,0.0,0.0,0.0,Closed,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,FingerRadial,,1,1,0
square_idiot,square_idiot,J_01_062,i,Flat,0.0,,,Open,0.0,OneHanded,,0,Neutral,Neutral,,0,,1
dip_1,dip_1,J_01_063,imrp,Curved,0.0,0.0,0.0,Open,1.0,AsymmetricalDifferentHandshape,Curved,0,Hand,HandAway,HandAway,0,C,1
